commit,number_patches,patch_size_byte,patch_time_ms
0132ed754483b3c6a6ddccf45dcab849ee7e7508,1,632512,10.2627
01407a3a42b753ea0aea1774322a58a4d37a04e4,2,440016,2.6535
0201dea57796e6066a9179b1d4c7150f715d789e,1,292672,2.1756
0205dd01e2d0180474c24aceae0a51e6a3862e64,1,429976,6.5806
03657e88fe0a490ca500fe64f543a990279ebb25,1,89976,1.5456
03cb27e8ecd456a008192fcb7cb274dab7872335,1,265424,3.3076
0429db3c652179ec539096939bd7b69fc53e7a56,1,361936,5.0237
048097ada88c9769f1cebfd88c0f47a2741d4ef1,1,185696,1.5577
04ca7d8aee04909791669ebcaf1dd78374c9ea93,1,234184,1.9319
0506d85122e01e5a94b2e125044a64af6efb350d,1,140344,1.1154
0560738f6b1b34b4399664a92066507b5f05399d,1,164824,0.2871
07631ff18eaa56fec55144fb31747c82691b1b62,1,292848,3.3603
0825552565e5fdab2e87950579c4f0bedded3e3c,1,86576,0.237
08d4df8d313ccd5147ac0ad2f92129b37cf44fa2,1,162568,0.446
097a5556770b6c78bf6eef7bc9b085299fbf2bed,3,877608,11.8621
0a2f78837d82046ec7ffe77f8a2addcb591ff4f7,1,128952,2.0768
0ab885a685101522017021ac2d2b46b42d268f26,2,584000,2.9364
0c030dea73fc9e9d0a0d3c0043e393560362187a,1,258232,3.9164
0c0b77d14959db2c6370eb0badcc1199188dbb39,1,167920,1.2426
0c1273c3896c85beed8d84e03f4dc2300975c1f2,1,423192,0.5252
0d05570a82b730ef3493fbe972d5b5f5752faa64,1,64592,0.3038
0efb93d0c00b20ca87b18a92484225a54614aef6,6,1872416,43.3807
0f14d3279212e1b262869b6160db87d6f117cff5,1,261960,0.1999
1198f7ceff2a255a4198e4b9cc62b4e99fe5651f,2,526472,3.586
1209dc2277342491b100f298d311510c86b0a2f2,1,415024,5.5564
12a6b438a34b064389f347a09970237fc5f616d1,1,65864,0.2134
135998ed8d0fc92d7ee6e23b1a66353f5900695f,2,710760,4.9964
138e7af57bc5fa9a9276dbe89e8a03e303dee3e2,1,108640,1.1698
15ae4e29e537e7ec37f0df1825d9fb2beea67124,1,410520,4.3882
1655576e23c41ea9c12a42699651d207656a0e83,1,140992,1.0594
17181517ec3c6b945788a9bdc2ef60111981a9e0,2,800360,10.1076
1740300f35ad8a4dbb60ef7feb6a3738596316a8,1,547368,7.9927
17c3ac89e7cf15f299927fc5638177421ae3afe8,1,623904,1.0064
18264d641b1c1cb2d4b4053fe9a6934190ef84b7,1,60664,0.6413
1847b987c685c95b581f7e50ef9073e92b09b82f,1,196848,1.3237
18cb4a7d938d01981e9f6c565532a2056ceb269b,1,285344,3.0408
1908aba73d88346ecbdd44fe5322c61813520c54,2,476568,5.0589
193e4acc07ae5e60638145b72e8fd792a47e9d32,1,306864,0.2796
19d01b62ca985bf205d65b1003d39a44149d126d,1,524976,6.0788
1b03a0d7546b0c7afbeb12533090c5395b9d7a01,1,592408,0.3848
1c1bd618c95e26a8ff5c12e70cbf0117233ef073,1,233376,2.5117
1d2839a830b6f6d32fd31ee6d0d31de96e8c535c,1,1058208,7.4108
1d8973c47df9c58cdca08951b5ee119fb5288d35,1,258256,0.827
1e2f0d694046e1e681e0e3a45b7f91316de2b3a9,1,51840,0.3446
1e7227f429f72e5374f5df58c71f5d44ae854193,1,78992,1.0016
1e85b89aefe8e7e24a46bd1c8fb251fdab024b74,1,544792,4.4263
1ee6af4d879da4ffe55f015dd2d2ecd290d750eb,1,316352,3.0449
1fc8ef81aacd5f789a6e6446a975c37a269cdf8c,2,510024,0.6779
2189100383ca06f8c8f163b340a265d018d9ebe9,1,510928,5.2257
21971ac83cbab9bb8e28324f3b0182c3aa759642,1,203432,2.5348
219e29af651f7a20cdcb91f63623785a9ebb07a6,1,147728,1.6361
2211540d9360164a13f1f76f5d313864d9df5102,1,192040,3.6202
22969a13a0c58fc43ca6e598c298470d8450ce44,2,802040,23.0269
239b08574cab1757733d037edf717ce1867ffea2,6,1454352,10.235
240ff70ae639c26939aebb4a19de8206e39e45de,1,570600,7.3617
2551b0f696c5595352f73e1364319c18e82792cd,1,82856,0.6722
256ddbf6dc185888b3d8a6af0e74fc877cb6211b,1,338360,0.7412
25f610fc298c40ff7dd935ae0b867b19dc75161d,1,86984,0.4717
266e6423bf44368bf7ed738992cb2b5305215f37,1,312192,1.1511
27c0ab238b19b42066930f72f7b127399d6a5f85,2,368544,3.9603
27d9c729e5f4c079d9c99cfa950aeb5aeefceb52,1,180848,1.7753
2a1ea8c7d811cb4461cd42a0c7b811910c80fcb2,1,507440,0.5389
2a2a582e7cd99ba3b531336b8bd41df2b566e619,3,749544,2.0423
2ab6767744a3b31db9cba7445ae6cc94f33b6d51,1,296960,3.1688
2adbbbcdc0797ff9bb8f21e7fb65fea943bd00b5,1,351648,4.5868
2b0ac7427ba5a6e1bc89380e960b138af893bbdd,1,123016,0.2322
2ba8de9d5ead4c9bb70d38caad99a2b40b50de79,1,923472,3.0393
2bcd890d8aa645cab0d8fd0ed765c52a997de4f5,1,325816,0.8668
2cd271e5d5f2f21da7471babee7a4de4ca489362,1,596760,0.5873
2e71edccfca63f50dc2437a08ab0bdd11a5a3d8e,1,429032,7.0681
2eca8aed1422aa4daa7e4ab77511ecb0995ed958,1,229864,0.5722
30278061cc834b4073b004cb1a2bfb0f195734f7,1,155112,2.4002
319a4c04c7ccfb8add8669726a29ba188fc7e06f,1,354640,1.7598
321f98726c88c3c5447fb3aa886b29206dbb6824,1,285544,0.6137
33b7ff387cbc75b5d53d4c42ec6303c8dbd5f656,1,734912,19.3416
34d87be5198409f295401b2722dea13829c2eee8,1,283256,1.2882
